name,url,submit_url,notes
Greater Miami Chamber of Commerce,https://www.miamichamber.com,https://www.miamichamber.com/membership/join,"Authoritative local chamber; member directory listing"
Miami Beach Chamber of Commerce,https://www.miamibeachchamber.com,https://www.miamibeachchamber.com/membership/join,"Local exposure for Miami Beach area"
Miami-Dade Chamber of Commerce,https://miamidadechamber.org,https://miamidadechamber.org/join,"Diverse business network; community credibility"
Miami Shores Chamber,https://miamishores.com,https://miamishores.com/become-a-member,"Neighborhood chamber; local visibility"
North Miami Beach Chamber,https://www.nmbchamber.com,https://www.nmbchamber.com/join,"North Miami Beach audience; events & listings"
Nextdoor – Miami Neighborhoods,https://nextdoor.com/business,https://nextdoor.com/business/create,"Neighborhood reach; reviews & recommendations"
Alignable – Miami,https://www.alignable.com/miami-fl,https://www.alignable.com/join,"Small business networking; referrals"
BBB Miami-Dade,https://www.bbb.org/local-bbb/bbb-of-south-east-florida,https://www.bbb.org/file-a-complaint,"Trust signal; accreditation optional"
Angi (Angie's List),https://www.angi.com,https://www.angi.com/companylist,"Home services; lead volume"
HomeAdvisor,https://www.homeadvisor.com,https://www.homeadvisor.com/rated,"Lead gen; reviews; category presence"
Yelp – Miami,https://www.yelp.com/miami,https://biz.yelp.com,"Reviews; consumer discovery"
Google Business Profile,https://business.google.com,https://business.google.com/create,"Core discovery; maps ranking"
Bing Places,https://www.bingplaces.com,https://www.bingplaces.com,"Secondary maps; Microsoft ecosystem"
Apple Business Connect,https://businessconnect.apple.com,https://businessconnect.apple.com,"Apple Maps listing; iOS users"
MapQuest,https://www.mapquest.com/business,https://www.mapquest.com/business,"Additional map presence"
Foursquare,https://foursquare.com,https://foursquare.com/developers,"Data syndication; venue presence"
Local.com,https://www.local.com,https://www.local.com/addbusiness,"General local citation"
Hotfrog,https://www.hotfrog.com/company,https://www.hotfrog.com/AddBusiness.aspx,"Business directory"
YellowPages (YP),https://www.yellowpages.com,https://www.yellowpages.com/business,"Legacy directory; still crawled by Google"
Manta,https://www.manta.com,https://www.manta.com/add-listing,"Small business profiles"
Houzz – Miami,https://www.houzz.com/professionals,https://www.houzz.com/getListed,"Home services; portfolio & reviews"
Porch,https://porch.com,https://porch.com/pro/login,"Home services; lead intake"
Thumbtack,https://www.thumbtack.com,https://www.thumbtack.com/pro,"Consumer requests; reviews"
BuildZoom,https://www.buildzoom.com,https://www.buildzoom.com/contractors/new,"Contractor licensing context"
ProMatcher,https://www.promatcher.com,https://www.promatcher.com/pros/JoinProMatcher.aspx,"Local contractors; link potential"
CitySquares – Miami,https://citysquares.com,https://citysquares.com/add-business,"Local directory"
eLocal,https://www.elocal.com,https://www.elocal.com/business-owner,"Local services leads"
ChamberofCommerce.com,https://www.chamberofcommerce.com,https://www.chamberofcommerce.com/add-business,"General directory"
Florida Plumbing & HVAC Associations,https://www.fracca.org/members,https://www.fracca.org/join,"Regional trade network; credibility"
South Florida Contractors Directory,https://www.southfloridacontractors.com,https://www.southfloridacontractors.com/submit,"Regional exposure; contractor-focused"
